target_date,ewma_violation,gb_violation,historical_violation,actual_return,violation_method_count,exception_category,calendar_month,target_position,cluster_id
2026-01-12,False,False,False,0.0295386507743106,0,no_violation,2026-01,264,
2026-01-13,False,False,False,-0.0066741227691609,0,no_violation,2026-01,265,
2026-01-14,False,False,False,-0.0011910644603958,0,no_violation,2026-01,266,
2026-01-15,False,False,False,-0.0077030008468063,0,no_violation,2026-01,267,
2026-01-16,False,False,False,0.0349496780172586,0,no_violation,2026-01,268,
2026-01-19,False,False,False,0.0014874597447464,0,no_violation,2026-01,269,
2026-01-20,False,False,False,-0.0134219980237224,0,no_violation,2026-01,270,
2026-01-21,False,False,False,-0.0049484313888461,0,no_violation,2026-01,271,
2026-01-22,False,False,False,0.000214610273379,0,no_violation,2026-01,272,
2026-01-23,False,False,False,-0.0119841743597864,0,no_violation,2026-01,273,
2026-01-26,False,True,False,-0.0204367135278289,1,gb_only,2026-01,274,14
2026-01-27,False,False,False,0.0176072636678249,0,no_violation,2026-01,275,
2026-01-28,False,False,False,0.0129017477297967,0,no_violation,2026-01,276,
2026-01-29,False,False,False,0.0257446052888209,0,no_violation,2026-01,277,
2026-01-30,False,False,False,0.0039179625614337,0,no_violation,2026-01,278,
2026-02-02,False,False,False,-0.0008703703782834,0,no_violation,2026-02,279,
2026-02-03,False,False,False,-0.0065359946007144,0,no_violation,2026-02,280,
2026-02-04,False,False,False,0.0139287344067097,0,no_violation,2026-02,281,
2026-02-05,True,True,True,-0.0241151254005902,3,shared_all_3,2026-02,282,15
2026-02-06,False,False,False,-0.0205068110583045,0,no_violation,2026-02,283,
2026-02-09,False,False,False,0.0076638337475073,0,no_violation,2026-02,284,
2026-02-10,False,False,False,-0.0065742735110462,0,no_violation,2026-02,285,
2026-02-11,False,False,False,0.0162318491318526,0,no_violation,2026-02,286,
2026-02-12,False,False,False,0.00488851061178,0,no_violation,2026-02,287,
2026-02-13,False,False,False,-0.0093676127947638,0,no_violation,2026-02,288,
2026-02-23,False,False,False,-0.0010272817789785,0,no_violation,2026-02,289,
2026-02-24,False,False,False,0.0032960807426041,0,no_violation,2026-02,290,
2026-02-25,False,False,False,0.0023694909764975,0,no_violation,2026-02,291,
2026-02-26,False,False,False,0.0085287619426779,0,no_violation,2026-02,292,
